연번,시설명,위치,면적(제곱미터),체력시설,부대편의시설,간이운동시설,설치년도
1,남천1동체육시설(수련원후문진입로),부산광역시 수영구 남천1동 산26-1외,650,22,5,,1994
2,광안1동 소공원,부산광역시 수영구 광안동 1302-9,22,4,1,,2013
3,망미1동체육시설(배산 정상),부산광역시 수영구 망미1동 산67-3,700,25,3,,1995
4,광안4동체육시설(도시고속도로 밑),부산광역시 수영구 광안4동 1193,980,18,9,"2/2 농구, 게이트볼장",1990
5,민락동체육시설(백산 정상),부산광역시 수영구 민락동 산22,1400,28,4,1/1 배드민턴,1997
6,광안3동체육시설(도시고속도로터널위),부산광역시 수영구 광안3동 산8-18,3348,16,6,"배드민턴2,농구",1998
7,광안4동체육시설(오지송 뒤),부산광역시 수영구 광안동 산 62,450,16,4,,2000
8,광안1동체육시설(동굴 앞),부산광역시 수영구 광안1동 산19,660,13,3,,2001
9,남천1동체육시설(노인대학 앞),부산광역시 수영구 남천1동 산34,100,5,2,,1992
10,망미1동체육시설얼음골(하),부산광역시 수영구 망미1동 107-1,300,12,2,,1992
11,망미1동체육시설얼음골(중),부산광역시 수영구 망미1동 107-1,300,13,3,,1992
12,망미1동체육시설 얼음골(상),부산광역시 수영구 망미1동 107-1,660,13,3,,1992
13,망미1동체육시설 얼음골(양지약수터),부산광역시 수영구 망미1동 산 107-1,50,4,3,,1992
14,망미1동 체육시설(남일고뒤배산),부산광역시 수영구 망미1동 67-1번지,1000,15,3,,1989
15,망미1동 체육시설(동수영중뒤),부산광역시 수영구 망미1동 산106번지,120,11,2,,1989
16,광안4동 체육시설(청소년수련원정문앞),부산광역시 수영구 광안4동 산60-2번지,150,12,2,,1992
17,광안4동체육시설(옥천약수터),부산광역시 수영구 광안4동 산60-6번지,100,14,4,,1994
18,광안4동 체육시설(송신탑아래),부산광역시 수영구 광안4동 산39번지,150,9,2,,1993
19,광안4동 체육시설(구름재약수터),부산광역시 수영구 광안4동 산35-1번지,100,5,3,,1991
20,광안4동 체육시설(조광약수터),부산광역시 수영구 광안4동 산35-2번지,100,7,2,,1991
21,망미1동 체육시설현대한누리 뒤,부산광역시 수영구 망미1동 108-2번지,490,13,3,배드민턴장3,1999
22,수영동체육시설(수영사적공원),부산광역시 수영구 수영동 229-1번지,100,17,4,,2002
23,광안리해수욕장 체육시설,부산광역시 수영구 민락동 209-2번지,480,,,"비치발리볼2, 비치사커1",2004
24,쌈지공원 체육시설(삼익비치216동앞),부산광역시 수영구 남천1동 563번지,518,17,3,,2005
25,수영정(궁도장)(공무원교육원뒤),부산광역시 수영구 광안4동 산64-2,525,2,3,,1981
26,남천동 호안도로,부산광역시 수영구 남천2동 148-6,9916,13,2,,2005
27,망미1동 체육시설(헬기장 정상),부산광역시 수영구 망미1동 산114,50,10,2,,2005
28,망미2동 강변노인정 게이트볼장,부산광역시 수영구 망미2동 198-1,1316,3,2,게이트볼장,2006
29,수영강변체육시설,부산광역시 수영구 망미2동 1090 일원,1542,21,3,"족구장, 테니스장2",2006
30,호암근린공원 체육시설,부산광역시 수영구 광안동 743-5,500,16,4,,2007
31,민락동 선별장 체육시설,부산광역시 수영구 민락동 110-2 일원,2465,15,2,,2008
32,망미근린공원 체육시설,부산광역시 수영구 망미1동 640-3,660,18,2,,2009
33,번영로(망미고가교)하부 체육시설,부산광역시 수영구 번영로 하부,21625,24,7,게이트볼장,2009
34,민락어민활어판매장,부산광역시 수영구 민락동 113-50,50,10,2,,2011
35,스포츠문화타운 내 체육시설,부산광역시 수영구 광안4동 107-1,60,7,1,,2011
36,우암사앞체육시설,부산광역시 수영구 망미1동 114,50,3,1,,2011
37,동수영중학교 옆 갈림길체육시설,부산광역시 수영구 광안1동 8-4,50,4,1,,2011
38,구락공원체육시설,부산광역시 수영구 수영동 496-9,586.7,6,1,,2011
39,파랑새체육시설,부산광역시 수영구 광안동 180-1,50,3,,,2011
40,민락동경로당 체육시설,부산광역시 수영구 민락동 718-1,50,3,,,2011
41,망미공영주차장 체육시설,부산광역시 수영구 망미동 975-95,91.05,6,,,2012
42,사랑쌈지공원체육시설,부산광역시 수영구 광안동 693-15,717,9,,,2012
43,망미쌈지체육시설(천지빌 옆),부산광역시 수영구 망미동774-240,30,3,,,2013
44,광안1동엄지마을쉼터,부산광역시 수영구 광일로 7(광안동491-20),50,4,,,2015
45,너울어린이공원,부산광역시 수영구 민락동 779,50,4,,,2017
46,과정어린이공원,부산광역시 수영구 망미동 417-1,20,2,,,2017
47,망미쌈지체육시설(은혜빌라 옆),부산광역시 수영구 망미동 974-7,30,3,,,2011
48,망미1동 체육시설(망미이진캐스빌뒤),부산광역시 수영구 망미동 산107-1,1000,11,,,2018
49,수영sk뷰 체육시설,부산광역시 수영구 망미동 1169외 3개소,3771,16,,,2020
50,ECO도시숲 체육시설,부산광역시 광안동 산23-19,100,3,,,2021
51,백산어린이공원,부산광역시 수영구 민락동 센텀포레 102동 뒤,,1,,,2021
52,라온어린이공원,부산광역시 수영구 광안동 1336,1517,5,,,2021
53,학교개방체육시설(부산배화학교),부산광역시 수영구 연수로 310번길 73,60,6,2,,2005
54,학교개방체육시설(배산초등학교),부산광역시 수영구 망미배산로 98번길85-15,50,4,,,2005
55,학교개방체육시설(한바다중학교),부산광역시 수영구 광안로21번가길57,100,8,4,,2005
56,학교개방체육시설(동수영중학교),부산광역시 수영구 광서로 74,100,9,2,,2005
57,학교개방체육시설(동아중학교),부산광역시 수영구 호암로 55,50,5,3,,2005
58,학교개방체육시설(남일고등학교),부산광역시 수영구 망미배산로 48번길 85-23,60,5,1,,2005
59,학교개방체육시설(수미초등학교),부산광역시 수영구 연수로310번길 91,60,4,,,2005
60,학교개방체육시설(민락초등학교),부산광역시 수영구 광남로257번길 12,50,4,1,,2005
61,학교개방체육시설(동여자고등학교),부산광역시 수영구 남천서로32번길 39,100,10,2,,2005
62,학교개방체육시설(망미중학교),부산광역시 수영구 망미배산로 102,100,10,1,,2005
63,학교개방체육시설(광안중학교),부산광역시 수영구 연수로 310번길 127,100,9,,,2005
64,다목적운동장(광남초등학교),부산광역시 수영구 광안해변로 115,2602,,,,2011
65,다목적운동장(부산여자상업고등학교),부산광역시 수영구 금련로 43,1668,,,,2012
